"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"MIXT","100 CALIFORNIA ST # 103","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"WORKSHOP CAFE","180 MONTGOMERY ST # 100","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ORGANIC COUP","224 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"B B F KITCHEN LLC","226 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"AQUITAINE","175 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SOTANO GRILLE","550 POWELL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHEZ JULIEN","100 BUSH ST # 110","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LEE'S DELI","280 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"RAMEN UNDERGROUND","356 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GASPAR BRASSERIE","185 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",23,1637,"CA"
"JULIE'S KITCHEN","50 POST ST # 62A","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ROCK JAPANESE CUISINE","614 PINE ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NATIVE JUICE CO","168 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUSHIRRITO","388 MARKET ST # 107","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PROPER FOOD","116 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SPECIALTY'S CAFE & BAKERY","115 SANSOME ST # 300","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE BASTILLE-SAN FRANCISCO","22 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"CAFFE AMBROSIA","14 TRINITY PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",2,143,"CA"
