"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"CRYSTAL JADE","4 EMBARCADERO CTR # LEVEL-1","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",60,4270,"CA"
"GEE YIN RESTAURANT","","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE INSALATA","209 JACKSON ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"CAFE ELENA","1 MARKET PLZ # 5","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"SILVERSTAR DELI","316 PACIFIC AVE","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"CAFE DE STIJL","1075 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"LA PETIT CAFE","1 MARITIME PLZ # 1","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TRISH'S MINI DONUTS","39 PIER # B1","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"TOGO'S","570 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"OSHA THAI RSTRNT-LOUNGE","4 EMBARCADERO CTR # SL7","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BUCKHORN GRILL","4 EMBARCADERO CTR","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"SENS RESTAURANT","4 EMBARCADERO CTR # PL","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"POSH BAGEL","4 EMBARCADERO CTR # SL6","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"CREPE CAFE","39 PIER # 181","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"5 A5 STEAK LOUNGE","244 JACKSON ST # 1","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"GO CHEESE","2 EMBARCADERO CTR # 1640","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"FARM FRESH TO YOU","1 FERRY BUILDING # 9","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PIER MARKET SEAFOOD RSTRNT","39 PIER # 103","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BUBBA GUMP SAN FRANCISCO","1 PIER # 39","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"KIRIMACHI LLC","3 EMBARCADERO CTR # SL12","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BOULIBAR","1 FERRY BUILDING # 35","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"LA MAR CEBICHERIA PERUANA","1 1/2 PIER # 100","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PRESIDIO CAFE","3 EMBARCADERO CTR","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GOCHEES PIZZA","2 EMBARCADERO CTR","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BUCKHORN GRILL","100 DRUMM ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ORGANIC COUP","4 EMBARCADERO CTR","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ECLIPSE RESTAURANT & LOUNGE","5 DRUMM ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"UNA MAS PARTNERS LLC","1 MARKET PLZ","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"REPORTS FROM CHINA","615 BATTERY ST # 501-501","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GYRO","1620 MONTGOMERY ST # 220","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BUNDOX RESTAURANT INC","9 PIER # 101","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SERRA HOSPITALITY GROUP LLC","PIER 5 EMBARDADERO","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",40,2847,"CA"
"SCOMA'S RESTAURANT INC","1965 AL SCOMA WAY","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"YO YO'S","318 PACIFIC AVE","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"PIER 23 CAFE","23 PIER","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"CHOWDERS","39 PIER # A1","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"FOG HARBOR FISH HOUSE","39 PIER # 202","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",100,7117,"CA"
"SWISS LOUIS ITALIAN-SEAFOOD","39 PIER # G2","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"EAGLE CAFE","39 PIER # 103","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"JAVA HOUSE","40 PIER # 3","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"IL FORNAIO-SAN FRANCISCO","1265 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",75,5338,"CA"
"AUNT FANNYS HOT PRETZELS","39 PIER # 167","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"KOKKARI ESTIATORIO","200 JACKSON ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",100,7117,"CA"
"CRABCAKES & SWEETS","39 PIER # K1","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"GENJI","450 RHODE ISLAND ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TAQUERIA","450 RHODE ISLAND ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NEXT LEVEL BURGER","450 RHODE ISLAND ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LIVE SUSHI BAR","2001 17TH ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"CONNECTICUT YANKEE","100 CONNECTICUT ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"GANIMS MARKET","1135 18TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"GOAT HILL PIZZA","300 CONNECTICUT ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"JB'S PLACE","1435 17TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"MOCHICA","1469 18TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"PERA","1457 18TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",16,1139,"CA"
"PAPITO","317 CONNECTICUT ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PLOW","1299 18TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"UMI","1328 18TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SKIPJACK SUSHI","1328 18TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUNFLOWER-POTRERO","288 CONNECTICUT ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HAZEL'S KITCHEN","1319 18TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"PANDA TRUX","1459 18TH ST # 330","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"THINKERS CAFE","1631 20TH ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"CAPITAL RESTAURANT","839 CLAY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"CATHAY HOUSE","718 CALIFORNIA ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"FAR EAST CAFE","631 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",22,1566,"CA"
"MOW LEE SHING KEE & CO","774 COMMERCIAL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"YOUNG'S RESTAURANT","601 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",1,72,"CA"
"SNOW GARDEN","712 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SUBWAY","653 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GOLDEN KING VIETNAMESE RSTRNT","757 CLAY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HANG AH TEA ROOM INC","1 PAGODA PL","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHEF HUNGS","823 CLAY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"EASTERN BAKERY","720 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"HANG AH TEA ROOM","1 HANGAH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SLURP RAMEN","710 COMMERCIAL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SPICY KING","65 WAVERLY PL","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"OLD SHANGHAI ONLINE LLC","616 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ZHONGDA CHINESE CULTURE & ART","734 GRANT AVE # 203","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HONG KONG PAVILION RESTAURANT","736 SACRAMENTO ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SAM WO RESTAURANT & BAKERY","715 CLAY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GREEN BAMBOO GARDEN","729 CLAY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"STEAP TEA BAR","827 SACRAMENTO ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"AMERICAN CHINA HOLIDAY INC","832 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ALTA ADAMS RESTAURANT PROJECT","36 WAVERLY PL # 2","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"R & G LOUNGE","631 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",45,3203,"CA"
"GOURMET DELIGHT","1045 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"PARIS LITTLE","1131 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NEW PING YUEN BAKERY & RSTRNT","1125 STOCKTON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"GALLERY CAFE LLC","1200 MASON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"MICHAEL GOURMET KITCHEN","1051 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"WONG'S","923 PACIFIC AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHINESE COMMUNITY HEALTH RSRC","845 JACKSON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GOLDEN DRAGON MARKET INC","838 JACKSON ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BIG 4","1075 CALIFORNIA ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",62,4413,"CA"
"RUE LEPIC","900 PINE ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"SONS & DAUGHTERS RESTAURANT","708 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"EMPORIO RULLI CAFFE GRAVE","333 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TOP OF THE MARK","1 NOB HILL CIR","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TOP OF THE MARK","999 CALIFORNIA ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",400,28466,"CA"
"BRGR","790 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NOB HILL RESTAURANT","999 CALIFORNIA ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BURRITT ROOM","47 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LORI'S DINER","501 POWELL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"BEAN STALK","724 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"ALIMENT","786 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"PIER 23 CAFE","","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TUNA+ BURRITO","28 WAVERLY PL","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"UNCLE VITO'S PIZZADELLI","700 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",19,1353,"CA"
"NOB HILL CAFE","1152 TAYLOR ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"LAUREL COURT RESTAURANT & BAR","950 MASON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",45,3203,"CA"
"OGRI INC KEIKO A NOBHILL","1250 JONES ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TONGA ROOM","950 MASON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"NAVIN THAI RESTAURANT","1059 POWELL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"VENTICELLO","1257 TAYLOR ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"EL SUPER BURRITO","1200 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GOLDEN COFFEE SHOP","901 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"MAYES OYSTER HOUSE","1233 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"SUBWAY","1199 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"LA FINA ESTAMPA","1407 BUSH ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"UPCIDER","1160 POLK ST # 2","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"PAPA JOHN'S PIZZA","969 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"SLIDER'S DINER","1204 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"OLIVOS RESTAURANT","1017 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"CAFE ZITOUNA","1201 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"COLOMBINI BISTRO","835 HYDE ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"DOLCE GELATO","916 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"COZY CAFE","965 SUTTER ST # C","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",1,72,"CA"
"SARATOGA RESTAURANT","1000 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"RED ROBIN GOURMET BURGERS","970 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",80,5694,"CA"
"HAN'S COFFEE SHOP","900 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"QUETZAL INTERNET CAFE","1234 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BELLISSIMO PIZZA","920 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"MILLER'S REST","1085 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HANARO","939 GEARY ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"IRVING PIZZA","928 GEARY ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"YAMASHO JAPANESE RESTAURANT","1161 POST ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"RUSTY'S SOUTHERN","750 ELLIS ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"NAPOLI PIZZA","1045 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"HOUSE OF THAI","901 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"QUICKLY","709 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"DE AFGHANAN KABOB HOUSE","1035 GEARY ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BRASS KNUCKLE CAFE","749 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"JANE","925 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ESAN CLASSIC","739 LARKIN ST # 743","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"IKE'S LOVE & SANDWICHES","901 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MONGOLIAN FAMILY SUPPORT CTR","875 OFARRELL ST # 103","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"MEL'S DRIVE-IN-VAN NESS AVE","1050 VAN NESS AVE","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PING YANG THAI GRILL & DESSERT","955 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CHESTNUT DINER","1312 CHESTNUT ST","SAN FRANCISCO",94123,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"VIKING'S GIANT SUBMARINES","1418 LOMBARD ST","SAN FRANCISCO",94123,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"AATO","1449 LOMBARD ST","SAN FRANCISCO",94123,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE LE","2895 VAN NESS AVE","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"ATAMI SUSHI BAR & GRILL","1662 LOMBARD ST # A","SAN FRANCISCO",94123,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"KUI SHIN BO-LOMBARD STREET","1424 LOMBARD ST","SAN FRANCISCO",94123,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"FIRST CUP","2911 VAN NESS AVE","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"BUENA VISTA CAFE","2765 HYDE ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"CIOPPINO'S","400 JEFFERSON ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"CAPURRO'S RESTAURANT & BAR","498 JEFFERSON ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",18,1281,"CA"
"JOANIE'S HAPPY DAYS DINER","1329 COLUMBUS AVE","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"LORI'S DINER GHIRARDELLI SQR","900 N POINT ST # J101","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"BLUE MERMAID","471 JEFFERSON ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",60,4270,"CA"
"RESTAURANT GARY DANKO","800 N POINT ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LATIN GRILL EXPRESS","993 N POINT ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GRANDEHO'S KAMEKYO II-SF","2721 HYDE ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"PUB BBQ AT GHIRADELLI SQUARE","851 BEACH ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",19,1353,"CA"
"GARY DANKO","800 N POINT ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"MCCORMICK & KULETOS","900 N POINT ST # H301","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",200,14233,"CA"
"VNO PATSON CANNERY","2801 LEAVENWORTH ST","SAN FRANCISCO",94133,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"WAXMAN'S SAN FRANCISCO RSTRNT","900 N POINT ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"JAPANESE AMERICAN CITIZENS LG","1135 FRANCISCO ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PICO LATIN STREET FOOD","900 N POINT ST # 101","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"ZARZUELA","1356 FILBERT ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"CURBSIDE CAFE","2417 CALIFORNIA ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"ELITE CAFE","2049 FILLMORE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",36,2562,"CA"
"GROVE FILLMORE","2016 FILLMORE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"TACOBAR","2401 CALIFORNIA ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",14,997,"CA"
"OCTAVIA","1701 OCTAVIA ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",180,12810,"CA"
"BUN MEE","2015 FILLMORE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"JAPANESE COMMUNITY YOUTH CNCL","2012 PINE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"CAFE MAJESTIC","1500 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"ROAM ARTISAN BURGERS","1923 FILLMORE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"PIZZA INFERNO RESTAURANT & BAR","1800 FILLMORE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"KISS SEA FOOD JAPANESE RSTRNT","1700 LAGUNA ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"FLORIO RESTAURANT","1915 FILLMORE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"UPTOWN JOE'S","1500 SUTTER ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",28,1993,"CA"
"SPQR","1911 FILLMORE ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"OTD","2232 BUSH ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"NOIR WINE BAR & BISTRO","1880 STEINER ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"CAFE MUMS","1800 SUTTER ST","SAN FRANCISCO",94115,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"PANCHO'S SALSA BAR & GRILL","1639 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",11,783,"CA"
"CORDON BLEU VIETNAMESE RSTRNT","1574 CALIFORNIA ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"GOLDEN HORSE RESTAURANT","1060 HYDE ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"GRUBSTAKE RESTAURANT","1525 PINE ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"PICCADILLY FISH & CHIPS","1348 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"SWAN OYSTER DEPOT","1517 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"VICTORS PIZZERIA-ITALIAN","1411 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"NEW VILLAGE CAFE","1426 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"DARBAR PAKISTANI INDIAN CSN","1412 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"PHO VIETNAM","1406 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"TI PIACERA","1507 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"THAI THAI 2","1400 CALIFORNIA ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",1,72,"CA"
"TOAST SF","1601 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"H2O CAFE","1330 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"CONTRABAND COFFEE","1415 LARKIN ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TOAST EATERY","1601 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"AICHA","1303 POLK ST","SAN FRANCISCO",94109,"FULL-SERVICE RESTAURANTS",5,356,"CA"
