"trt10","tpop","pyoung","pcol","minc","mhval","mrent","pwht","pblk","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","pwht17","pblk17","pasian17","phisp17","gentcat"
42601,3916,30.030001,53.720001,95955.3988388693,938846.783405127,1422.33179060719,51.830002,1.14,38.470001,4.9299998,4004,24.93,65.510002,96382,1302600,1877,46.029999,4.9200001,33.869999,8.4399996,"non-gentrifiable"
42602,3284,30.030001,53.720001,95955.3988388693,938846.783405125,1422.3317906072,51.830002,1.14,38.470001,4.9299998,2861,20.59,72.089996,130742,1503700,2177,52.25,1.26,34.669998,4.8600001,"non-gentrifiable"
42700,5513,30.58,48.939999,92605.1084181203,842187.488325883,1327.1396373496,49.5,1.23,41.279999,4.6300001,5379,24.469999,57.860001,93250,1216600,1833,38.299999,6.5300002,43.450001,8.0500002,"non-gentrifiable"
42800,2451,15.22,72.690002,222027.040950005,1488732.21233689,1706.51341933571,76.419998,0.44999999,17.58,3.0999999,2507,9.3699999,84.589996,169455,2000001,2484,68.010002,0,18.43,4.1500001,"non-gentrifiable"
45100,5102,34.93,41.599998,84754.268506042,789773.515092873,1443.71620777923,40.32,2.4100001,49.82,4.0799999,5126,37.380001,68.309998,141912,1325000,2189,45.279999,2.77,38.119999,11.37,"gentrifying"
45200,6695,31.92,51.110001,80074.320486339,806062.884763826,1492.69536478454,44.32,1.28,46.66,4.29,7286,35.48,67.449997,115292,1667600,1998,43.82,2.7,39.869999,7.1199999,"gentrifying"
47600,5431,29,48.939999,95037.1058191448,786224.614176264,1551.66785844946,41.709999,1.49,49.419998,3.72,5670,26.84,61.990002,113944,1348100,2338,38.990002,0.46000001,43.02,6.7199998,"non-gentrifiable"
47701,4618,29.51,44.509998,76046.3450568944,749878.451448873,1479.64946619217,41.360001,1.15,48.18,5.5900002,4569,28.610001,60.689999,88846,1159500,1723,39.330002,0,45.310001,7.0900002,"non-gentrifying"
47702,3946,29.4,39.849998,90320.9463360317,723227.9077372,1474.87407610183,40.040001,1.39,51.439999,3.8499999,3927,23.17,54.700001,114205,1238900,1721,39.900002,0.58999997,51.240002,5.1900001,"non-gentrifiable"
47801,4173,28.09,43.310001,89185.5233620412,678220.887620799,1487.24199288256,42.259998,1.1799999,48.439999,4.1500001,4421,23.950001,54.98,106016,1243700,2018,37.860001,1.99,45.849998,5.6799998,"non-gentrifying"
