"id","trt10","analysis","latitude","longitude","property_type","review_scores_rating","review_scores_location","number_of_reviews"
224579,22802,"mission",37.756319369729,-122.404778953185,"House",97,9,61
225205,20700,"mission",37.7609671542216,-122.423130457776,"Apartment",94,10,362
225933,16900,"castro/upper market",37.7684026468859,-122.430860553303,"Apartment",95,10,176
226594,16600,"haight ashbury",37.7696801679714,-122.451932497822,"Apartment",99,10,87
229319,25402,"bernal heights",37.7381871588153,-122.415662949938,"Apartment",97,9,18
231752,20402,"twin peaks",37.7556472737562,-122.440217868039,"Apartment",99,10,74
232060,30301,"inner sunset",37.7585462431217,-122.464443575773,"Guest suite",98,10,113
234394,40100,"inner richmond",37.7844898754132,-122.461881013221,"Condominium",98,10,39
234781,15400,"presidio heights",37.7828245412584,-122.446470523514,"Apartment",98,10,24
238190,10300,"russian hill",37.8030092631059,-122.415808919186,"Condominium",97,10,187
238204,35400,"sunset/parkside",37.7417389296812,-122.504346756431,"Guest suite",94,9,179
242008,18000,"south of market",37.7749857348454,-122.406349311303,"Apartment",96,9,51
242477,20401,"castro/upper market",37.7596710266809,-122.442569038737,"Serviced apartment",99,10,16
244361,11300,"chinatown",37.7953225299951,-122.408626662556,"Apartment",97,9,69
252867,61400,"potrero hill",37.7588860661826,-122.395388044014,"Condominium",99,10,20
256148,20401,"castro/upper market",37.7618829804035,-122.442152520961,"Condominium",98,10,531
256176,15600,"lone mountain/usf",37.7757919382539,-122.455044962101,"Guest suite",97,10,266
258786,25100,"bernal heights",37.7435044272308,-122.408054458817,"House",89,8,11
258873,10600,"north beach",37.8013350924167,-122.407137594321,"Apartment",87,10,290
269371,17000,"castro/upper market",37.7629448124866,-122.439735940274,"Apartment",94,10,160
269463,17102,"haight ashbury",37.7671085850681,-122.451512188487,"Apartment",94,10,112
271505,20300,"castro/upper market",37.7663881768827,-122.429257097659,"Condominium",99,10,182
271602,18000,"south of market",37.7764142975184,-122.404536364866,"Condominium",98,9,99
273530,61400,"potrero hill",37.7561232387245,-122.399666588498,"Condominium",98,10,32
274334,35201,"sunset/parkside",37.7534598028353,-122.503584895759,"House",95,9,60
276072,20200,"mission",37.7683311279676,-122.425919906527,"Apartment",97,10,45
277339,25500,"outer mission",37.7268135762357,-122.434190541741,"Guest suite",97,9,315
279184,22901,"mission",37.7529049655656,-122.415526608166,"Apartment",97,9,12
280549,30700,"west of twin peaks",37.7377341293075,-122.449555279989,"House",94,9,35
284117,21500,"noe valley",37.7433402334965,-122.4293164555,"Guesthouse",95,10,205
284766,12902,"marina",37.7992135416929,-122.431912501165,"House",100,10,15
284811,13000,"marina",37.7958555236684,-122.430350781998,"Apartment",80,10,1
285499,17000,"castro/upper market",37.7628755887919,-122.438151681958,"Serviced apartment",100,10,2
285755,20900,"mission",37.753948502366,-122.419172510229,"Apartment",98,9,104
286311,17000,"castro/upper market",37.7627491844064,-122.442515427275,"Condominium",98,10,13
287907,31100,"west of twin peaks",37.7322455893829,-122.436142582533,"House",97,10,59
288213,22600,"potrero hill",37.7597128790462,-122.388333364448,"Apartment",98,10,168
295240,17000,"castro/upper market",37.7626741714481,-122.439194959983,"Apartment",97,10,120
297897,35201,"sunset/parkside",37.7573701980354,-122.506194375289,"House",96,9,193
298368,20800,"mission",37.7625885320493,-122.417476426439,"Apartment",98,9,57
300589,30400,"west of twin peaks",37.7443378718688,-122.472661307852,"House",96,10,273
307837,21200,"noe valley",37.7513100009558,-122.436996165773,"House",97,10,51
308885,10600,"north beach",37.7995421626789,-122.406787376193,"Apartment",89,9,109
310254,16200,"hayes valley",37.7773787032795,-122.420870237745,"Apartment",98,10,12
314248,13400,"pacific heights",37.7902555838612,-122.436404084337,"House",96,10,36
314368,10400,"north beach",37.8034529476252,-122.407981151404,"Condominium",98,10,21
317078,16300,"hayes valley",37.7761177061502,-122.432923405259,"Apartment",88,10,13
317121,17101,"haight ashbury",37.7664127388756,-122.446669249699,"Apartment",94,10,25
323635,26001,"excelsior",37.7260641709033,-122.432316338474,"House",97,9,53
325478,20700,"mission",37.7606541705585,-122.424135366035,"Apartment",97,10,106
326650,15200,"pacific heights",37.7863340360874,-122.432166497764,"Apartment",94,10,34
329020,61500,"financial district/south beach",37.7827752754126,-122.393374252882,"Loft",100,10,6
330535,17101,"haight ashbury",37.7689228819834,-122.446147221353,"Apartment",94,10,111
330736,17700,"mission",37.7659234604679,-122.406284205117,"House",100,10,49
334339,17000,"castro/upper market",37.7629510778078,-122.442592308808,"Cottage",98,10,154
338849,15500,"japantown",37.7852470966727,-122.430506144174,"Apartment",100,10,3
342420,20600,"castro/upper market",37.760521816496,-122.42938676366,"House",100,10,15
345760,17000,"castro/upper market",37.7647853711698,-122.436105936767,"Apartment",95,10,11
348580,25300,"bernal heights",37.7427098142004,-122.419547335987,"Condominium",95,9,30
350391,21600,"noe valley",37.7460349346985,-122.437146336191,"House",99,10,146
350479,22803,"mission",37.7571063635956,-122.409626955738,"House",97,9,35
351978,25600,"excelsior",37.7301914718292,-122.423165072768,"House",82,8,24
352165,20500,"castro/upper market",37.7581328098043,-122.435501410745,"Apartment",90,10,186
361230,20600,"castro/upper market",37.7607892560057,-122.434467164267,"Apartment",96,10,175
364023,26001,"excelsior",37.7263556376156,-122.433417722648,"Apartment",NA,NA,0
366541,61500,"financial district/south beach",37.7917780479254,-122.395017628739,"Apartment",NA,NA,1
371595,15400,"presidio heights",37.7814428435547,-122.456349259719,"Guesthouse",96,10,217
374997,20401,"castro/upper market",37.7605460414709,-122.442210056883,"Apartment",93,10,33
377452,22901,"mission",37.7513864941731,-122.411935497457,"House",99,10,85
377569,22903,"mission",37.7513119377155,-122.407945597359,"House",91,10,90
379255,17101,"haight ashbury",37.7658767350202,-122.442813647067,"House",100,10,11
379349,17101,"haight ashbury",37.7664813878262,-122.445420466257,"Guest suite",92,10,219
381217,25300,"bernal heights",37.7449798916426,-122.419268283042,"House",97,9,159
394575,25200,"bernal heights",37.7424814438569,-122.410688147344,"Apartment",96,10,352
404102,17601,"south of market",37.7804971205735,-122.409336517977,"Apartment",98,9,29
408471,20500,"castro/upper market",37.7566632114737,-122.436072251832,"House",97,10,32
413663,21300,"noe valley",37.7498726010762,-122.440274751057,"Apartment",99,10,72
415498,13101,"pacific heights",37.7936315910004,-122.424930996753,"Apartment",95,10,19
417681,12402,"tenderloin",37.7821701613927,-122.42037936269,"Apartment",100,8,9
420160,22802,"mission",37.763175524267,-122.407077570226,"Apartment",97,9,130
423063,16700,"haight ashbury",37.7704420569091,-122.435987023103,"Apartment",96,10,76
423300,22803,"mission",37.7563509483262,-122.40995994396,"Guest suite",96,10,19
424846,42602,"outer richmond",37.7837670013098,-122.47522332276,"House",99,10,168
430692,22802,"mission",37.759055394446,-122.407610799523,"Apartment",98,10,12
437385,47902,"outer richmond",37.7788374362514,-122.505347142319,"Condominium",98,10,224
442349,16300,"hayes valley",37.7747977500123,-122.427114049079,"Apartment",98,10,19
442397,35202,"sunset/parkside",37.7592543171936,-122.508926279951,"House",99,9,101
443908,15200,"pacific heights",37.7870576242054,-122.429077247959,"House",98,10,60
444675,21700,"glen park",37.7405389495046,-122.431205434079,"Apartment",100,9,6
450992,16400,"hayes valley",37.774071274551,-122.433099866128,"Apartment",89,10,19
456264,10100,"north beach",37.8059047494978,-122.418034304863,"Apartment",96,10,44
456568,16802,"hayes valley",37.7734550129477,-122.429172161877,"House",96,10,51
457862,15801,"western addition",37.7810084184256,-122.440830784537,"House",93,9,39
457986,26001,"excelsior",37.7259398745869,-122.4332746737,"Condominium",100,9,12
459990,10300,"russian hill",37.8004118771564,-122.415685495999,"Serviced apartment",100,10,3
465723,30800,"west of twin peaks",37.73853305047,-122.471658766199,"Apartment",97,10,382
467507,25100,"bernal heights",37.746867811279,-122.409644399607,"Guest suite",98,10,184
467839,15200,"pacific heights",37.7888114367497,-122.42940864885,"House",94,10,87
468490,10300,"russian hill",37.8013909474313,-122.415342140597,"Condominium",92,9,21
474001,61100,"chinatown",37.7947195160594,-122.405187690651,"House",100,10,1
474107,26001,"excelsior",37.7237607819211,-122.429255410339,"House",99,9,49
477122,20600,"castro/upper market",37.7617962469223,-122.426899937927,"House",100,10,9
479072,20500,"castro/upper market",37.7575563537735,-122.436396617149,"Guest suite",94,10,202
479415,25200,"bernal heights",37.7396241805912,-122.414839160214,"House",96,10,18
482592,21800,"glen park",37.7342908498019,-122.43491045425,"House",96,9,98
485286,25402,"bernal heights",37.7389489238706,-122.412741012705,"Apartment",95,9,18
487019,61400,"potrero hill",37.7559983729967,-122.400223489933,"Apartment",87,8,20
487499,20700,"mission",37.7609857506827,-122.421829831961,"Apartment",95,10,179
488297,20402,"twin peaks",37.7561334574676,-122.440660963061,"Condominium",97,10,198
488359,20600,"castro/upper market",37.7621417507222,-122.431481724648,"Guest suite",99,10,220
491874,16700,"haight ashbury",37.7714368899782,-122.4346950933,"Apartment",98,10,95
494111,47701,"outer richmond",37.779847597022,-122.484775739317,"Apartment",92,9,113
496226,22704,"potrero hill",37.761970055671,-122.403653112463,"Apartment",94,9,126
496246,22802,"mission",37.7634763829543,-122.405460581377,"Condominium",100,9,17
499096,20700,"mission",37.758527554124,-122.42387059284,"Apartment",95,10,173
501057,22902,"mission",37.7494615120333,-122.409169437276,"House",96,9,50
501770,16700,"haight ashbury",37.771661546712,-122.438261798232,"Apartment",97,9,103
503362,16700,"haight ashbury",37.7724409992215,-122.437888194277,"Apartment",99,10,115
504146,12602,"marina",37.8059439888749,-122.437825701675,"Condominium",98,10,62
505530,25100,"bernal heights",37.7431240427496,-122.406472177307,"House",90,8,4
505763,20402,"twin peaks",37.7508135219974,-122.445237462371,"Apartment",100,10,8
511991,61500,"financial district/south beach",37.7895244794851,-122.395949841378,"House",100,10,1
515260,21600,"noe valley",37.7439543947692,-122.432525112892,"House",91,10,14
515524,16600,"haight ashbury",37.7714407181224,-122.444331694854,"Apartment",97,9,66
517803,17000,"castro/upper market",37.7679422472211,-122.439057218367,"Bungalow",100,10,7
519796,10200,"russian hill",37.8029871676982,-122.424472088676,"Apartment",99,10,79
522089,20700,"mission",37.7598051608281,-122.424468988416,"Apartment",94,9,35
522273,61200,"bayview hunters point",37.7382072979141,-122.391463551956,"Apartment",100,9,10
530857,26004,"excelsior",37.7172465935476,-122.435616871857,"House",100,10,15
531151,25402,"bernal heights",37.7349551671391,-122.416558879548,"House",99,9,15
533627,22704,"potrero hill",37.7613239588273,-122.404214214162,"House",98,10,24
537602,16801,"hayes valley",37.771788661524,-122.428606526415,"House",96,10,269
548232,12800,"marina",37.7981724944124,-122.441686322962,"Condominium",99,10,27
558205,61500,"financial district/south beach",37.7873453078271,-122.398496034289,"Serviced apartment",95,10,44
560440,20700,"mission",37.7605013739152,-122.423168614126,"Apartment",100,10,10
561148,15600,"lone mountain/usf",37.778216332058,-122.458134128862,"House",98,10,20
561602,25300,"bernal heights",37.7452079648291,-122.419384399923,"House",100,10,167
562593,10400,"north beach",37.8004316668637,-122.40542543918,"Apartment",99,10,16
567239,21600,"noe valley",37.7447243131868,-122.43698791604,"House",96,10,544
568161,31100,"west of twin peaks",37.7327945893299,-122.437005368766,"House",98,10,319
571042,16700,"haight ashbury",37.768101414489,-122.43972462971,"Townhouse",100,10,9
576018,21100,"noe valley",37.7536267721406,-122.431375597509,"House",99,10,18
581216,12902,"marina",37.8017178741273,-122.435013074942,"Apartment",95,10,277
582335,12601,"marina",37.8017797668925,-122.437187108248,"House",100,10,8
585225,21600,"noe valley",37.7455530770164,-122.433836544296,"Apartment",95,10,471
585326,47702,"outer richmond",37.776321945035,-122.480671775999,"Guest suite",95,9,581
587375,20700,"mission",37.7615668921656,-122.421862309288,"House",99,10,64
589676,21400,"noe valley",37.7503638954222,-122.426205915424,"House",97,10,184
591431,21000,"mission",37.7506568505429,-122.423491840644,"House",88,10,13
591524,25200,"bernal heights",37.7466274573975,-122.416962663342,"House",100,10,5
592883,22803,"mission",37.7573107828804,-122.409537266671,"House",93,9,30
593165,17102,"haight ashbury",37.7661297607715,-122.452522323265,"Apartment",83,9,18
594387,21200,"noe valley",37.7530076654418,-122.436855489053,"House",98,10,189
596042,13101,"pacific heights",37.7938368017034,-122.424361488597,"Apartment",96,10,95
598271,22704,"potrero hill",37.7594251564177,-122.403976159991,"House",97,10,252
598579,16400,"hayes valley",37.7744769878907,-122.433593574258,"Apartment",97,10,59
602036,16500,"lone mountain/usf",37.7758585050363,-122.442427574115,"Condominium",100,10,1
602535,21500,"noe valley",37.7436556589471,-122.429925011048,"House",98,10,8
604843,22801,"mission",37.7602423980576,-122.408795913956,"Apartment",100,10,8
607500,17102,"haight ashbury",37.7666808056518,-122.450951708365,"House",97,10,47
614278,45100,"inner richmond",37.7771570937027,-122.462714260371,"Condominium",100,10,17
616204,11300,"chinatown",37.7952724276951,-122.409253777554,"Apartment",92,9,65
616517,17802,"south of market",37.7752830659222,-122.407719264023,"Loft",96,9,106
621292,20800,"mission",37.761112456047,-122.417165952413,"Apartment",100,10,10
622134,22802,"mission",37.7551697794021,-122.403765561032,"Apartment",94,9,34
625655,25500,"outer mission",37.7272257078731,-122.439150975155,"Condominium",97,9,143
626349,17601,"south of market",37.7811081189859,-122.405973629852,"Condominium",96,9,37
631635,21200,"noe valley",37.7556609520413,-122.43453821078,"Condominium",95,10,240
631658,22704,"potrero hill",37.759262542509,-122.404421564183,"House",94,10,30
631735,23001,"bayview hunters point",37.7371004394933,-122.39760836833,"House",94,7,25
632303,21700,"glen park",37.7411816509654,-122.432749492648,"Apartment",100,10,5
633629,31100,"west of twin peaks",37.7325828208257,-122.44126468026,"Apartment",95,9,78
640352,17801,"south of market",37.7812819730807,-122.403460443067,"Loft",97,10,107
642672,21500,"noe valley",37.7457014912967,-122.424227912616,"Apartment",100,10,6
643918,10600,"north beach",37.8003067950564,-122.406399874313,"Apartment",94,10,37
644091,10400,"north beach",37.8032916422438,-122.407077026251,"Condominium",99,10,28
646275,25200,"bernal heights",37.7471118757643,-122.417809455189,"Condominium",96,10,90
647360,33201,"lakeshore",37.7310021494367,-122.47932055752,"Apartment",99,10,216
648086,25200,"bernal heights",37.7403787138579,-122.417545288337,"House",96,10,212
651624,30700,"west of twin peaks",37.7351016200632,-122.441496504412,"House",95,10,139
654279,25100,"bernal heights",37.7451403064655,-122.404586618925,"House",99,9,268
654860,47702,"outer richmond",37.7749817302272,-122.482867123628,"House",100,9,3
655326,10500,"financial district/south beach",37.8030077240984,-122.402161877996,"Apartment",100,10,4
657121,10400,"north beach",37.80264458307,-122.410463472276,"Condominium",100,10,157
658588,20402,"twin peaks",37.7560320596873,-122.446434635604,"Apartment",99,10,238
662754,22803,"mission",37.7545811894885,-122.409750870394,"Apartment",100,10,19
