"nhood","tpop","pyoung","pcol","minc","mhval","mrent","pwhite","pblack","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","gentcat","pwhite17","pblack17","pasian17","phisp17"
"Marina",22457,43.928572,74.0999982857143,131520.432755523,1195119.21023184,1927.58975291798,83.4839916284455,0.503183862492764,9.65400543260453,3.91859999109409,25375,44.1300007142857,84.8442851428572,157390,1853200.57142857,2491.57142857143,"nongentable-ascending",78.6285714285714,0.776354679802956,10.5064039408867,7.12906403940887
"McLaren Park",412,20.389999,14.29,102905.117582037,1.48873072360617,1271.80825010523,3.88349514563107,15.7766990291262,53.6407766990291,21.6019417475728,507,16.17,8.9200001,12340,708300,280,"nongentable",0,22.4852071005917,50.887573964497,19.9211045364891
"Mission",60202.0250131188,39.9330766923077,33.8676922307692,76201.0502315567,634583.25920067,1267.6195399487,32.5255049074064,2.97332473386059,11.0112636552599,50.0730764346067,58770,34.3992312307692,57.2038456923077,125000.153846154,1106315.38461538,1870.84615384615,"gentrifying",41.0906925302025,3.66003062787136,14.4682661221712,35.667857750553
"Mission Bay",653.003685045247,36.389999,46.889999,52097.7770933359,146008.926225021,953.680901542112,54.1420068671592,10.3550288533693,24.2603531385926,6.95266214261166,13222,42.700001,68.139999,161496,914700,3131,"gentrifying",36.7720465890183,2.223566782635,44.8570564211163,12.600211768265
"Nob Hill",27066,40.0471424285714,46.5185717142857,67382.6985401647,664968.033232229,1223.18192419284,51.6034877706348,2.1133525456292,36.2336510751496,6.31050025862706,26445,43.3671421428571,65.7042857142857,94402.4285714286,1023850,1813.28571428571,"gentrifying",47.9636982416336,3.7133673662318,32.9551900170164,10.682548685952
"Noe Valley",21477,31.883333,68.2083335,120738.043338256,911443.360389611,1739.91414170077,72.0771057410253,2.39791404758579,9.28900684453136,12.3061880150859,23407,23.3316661666667,78.6533328333333,179347.833333333,1565483.5,2398,"nongentable-ascending",65.6513008928953,2.03357969838083,14.1282522322382,11.5435553466912
"North Beach",12017,33.236667,49.820001,80891.5366343187,853762.17850951,1413.79313709254,50.6615627860531,1.91395523009071,40.9087126570692,4.21070150619955,11854,33.5633336666667,58.5,85475.6666666667,1237100,1708,"non-gentrifying",47.1148979247511,2.60671503290029,37.6919183398009,8.14914796693099
"Oceanview/Merced/Ingleside",22800,26.194,23.4559994,87385.7310528266,429583.473905556,1517.13481989593,13.1710530701754,24.6622798245614,44.5438596491228,13.7982447368421,27530,25.9440002,37.2380002,90744.2,826380,2059,"gentrifying",13.3636033418089,10.2324736650926,57.7588085724664,14.9291681801671
"Outer Mission",20505.075216071,26.3666666666667,24.1999996666667,92262.0536464143,462525.755534691,1609.11710652883,17.6543268525188,1.65813851652454,49.7634019503743,27.973630623429,25042,23.8566666666667,30.306666,99270.6666666667,885200,1795.66666666667,"nongentable",12.0038335596198,1.24990016771823,54.9197348454596,28.5879722066928
"Outer Richmond",44574,28.9420003,46.922,91520.887753063,758726.536057418,1472.98076681183,45.0240050253511,1.46273612419796,45.358280612016,4.39493875353345,45921,25.2690003,60.0870005,104864.8,1281450,1958,"nongentable-ascending",41.0160928551208,1.88366978071035,43.8470416585005,6.54166938873282
