"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state","full_add","lat","long"
"CHIPOTLE MEXICAN GRILL","211 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",35,2491,"CA","211 SUTTER ST, SAN FRANCISCO, CA, 94108",37.7897034,-122.4040073
"TAQUERIA ESTRELLA","380 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","380 BUSH ST, SAN FRANCISCO, CA, 94104",37.790871,-122.403808
"HAKKASAN SAN FRANCISCO","1 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","1 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7876938,-122.403991459335
"CAFE MED","201 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","201 PINE ST, SAN FRANCISCO, CA, 94104",37.7921412,-122.399912
"BAMBOO ASIA","41 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","41 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.7897612,-122.402286
"SUSHIRRITO-UNION SQUARE","226 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","226 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7902169,-122.4037967
"BELDEN PLACE","44 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","44 BELDEN PL, SAN FRANCISCO, CA, 94104",37.7913722,-122.403726
"ORGANIC COUP","224 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","224 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7904773265306,-122.403867755102
"B B F KITCHEN LLC","226 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","226 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7902169,-122.4037967
"AQUITAINE","175 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","175 SUTTER ST, SAN FRANCISCO, CA, 94104",37.7897985053632,-122.403426631959
"SOTANO GRILLE","550 POWELL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","550 POWELL ST, SAN FRANCISCO, CA, 94108",37.7899317,-122.4086344
"LEE'S DELI","280 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA","280 BATTERY ST, SAN FRANCISCO, CA, 94111",37.7938039,-122.399922
"RAMEN UNDERGROUND","356 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","356 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7915523,-122.4040873
"GASPAR BRASSERIE","185 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",23,1637,"CA","185 SUTTER ST, SAN FRANCISCO, CA, 94104",37.7897466,-122.4035389
"ROCK JAPANESE CUISINE","614 PINE ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","614 PINE ST, SAN FRANCISCO, CA, 94108",37.7916072,-122.4059455
"NATIVE JUICE CO","168 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","168 SUTTER ST, SAN FRANCISCO, CA, 94104",37.7900511,-122.403378602254
"PROPER FOOD","116 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","116 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.7902774,-122.4021217
"CAFE BASTILLE-SAN FRANCISCO","22 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",15,1068,"CA","22 BELDEN PL, SAN FRANCISCO, CA, 94104",37.79116035,-122.403612133898
"CAFFE AMBROSIA","14 TRINITY PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",2,143,"CA","14 TRINITY PL, SAN FRANCISCO, CA, 94104",37.79015875,-122.402461625
"CAFE DE LA PRESSE","352 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",50,3559,"CA","352 GRANT AVE, SAN FRANCISCO, CA, 94108",37.7904814,-122.4054652
"CAFE DOLCI","740 MARKET ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",2,143,"CA","740 MARKET ST, SAN FRANCISCO, CA, 94102",37.7766243,-122.4173029
"LEE'S DELI","222 FRONT ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",8,570,"CA","222 FRONT ST, SAN FRANCISCO, CA, 94111",37.79382185,-122.398626116314
"TAQUERIA MANA","439 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA","439 STOCKTON ST, SAN FRANCISCO, CA, 94108",37.7901125,-122.4072395
"CAFE VENUE LEIDESDORFF","70 LEIDESDORFF ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",12,854,"CA","70 LEIDESDORFF ST, SAN FRANCISCO, CA, 94104",37.7927911,-122.4018569
"CHEESECAKE FACTORY","251 GEARY ST # 8","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",275,19570,"CA","251 GEARY ST # 8, SAN FRANCISCO, CA, 94102",37.7872963,-122.4074595
"PARALLEL 37","600 STOCKTON ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",30,2135,"CA","600 STOCKTON ST, SAN FRANCISCO, CA, 94108",37.7914692,-122.4073249
"BRINDISI","88 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","88 BELDEN PL, SAN FRANCISCO, CA, 94104",37.7917439,-122.4039087
"L & L HAWAIIAN BARBECUE","312 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",5,356,"CA","312 KEARNY ST, SAN FRANCISCO, CA, 94108",37.791039,-122.403979
"DAFFODIL RESTAURANT","665 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA","665 BUSH ST, SAN FRANCISCO, CA, 94108",37.79003255,-122.408340650158
"FLEUR DE SEL","308 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",4,285,"CA","308 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7909506,-122.403968
"AYOLA","327 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","327 KEARNY ST, SAN FRANCISCO, CA, 94108",37.79116185,-122.404347829395
"CHINA GATE GIFTS","531 GRANT AVE","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","531 GRANT AVE, SAN FRANCISCO, CA, 94108",37.7920433,-122.4059702
"MURACCI'S JAPANESE GRILL","307 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA","307 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7910214,-122.404257
"PORTICO RESTAURANT","550 MARKET ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","550 MARKET ST, SAN FRANCISCO, CA, 94104",37.7899238,-122.400913
"STEPHEN MACCOUN","98 BATTERY ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA","98 BATTERY ST, SAN FRANCISCO, CA, 94111",37.7919842,-122.399559
"BUN MEE","650 MARKET ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",2,143,"CA","650 MARKET ST, SAN FRANCISCO, CA, 94104",37.7884695,-122.402953093877
"FOUNDATION CAFE","335 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","335 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7912305,-122.404296
"KISU JAPANESE CUISINE","493 PINE ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",4,285,"CA","493 PINE ST, SAN FRANCISCO, CA, 94104",37.7916243,-122.4040088
"FRESH ROLL","220 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",12,854,"CA","220 BUSH ST, SAN FRANCISCO, CA, 94104",37.7914215,-122.401302664322
"MC DONALD'S","441 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",45,3203,"CA","441 SUTTER ST, SAN FRANCISCO, CA, 94108",37.7892272,-122.4077251
"SUPER DUPER BURGERS","346 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","346 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7914507,-122.404057
"PAOJAO","380 BUSH ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","380 BUSH ST, SAN FRANCISCO, CA, 94104",37.790871,-122.403808
"OPENTABLE","34 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","34 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.7895293684211,-122.401979789474
"CHINA US VC PLATFORM","388 MARKET ST # 1300","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA","388 MARKET ST # 1300, SAN FRANCISCO, CA, 94111",37.7923213,-122.3979949
"HOMAGE","88 HARDIE PL","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","88 HARDIE PL, SAN FRANCISCO, CA, 94108",37.7904377,-122.403452
"AIOLI CAFE DE LA PRESSE","469 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","469 BUSH ST, SAN FRANCISCO, CA, 94108",37.7907008804387,-122.405158122005
"JIMMY JOHN'S","120 PINE ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",15,1068,"CA","120 PINE ST, SAN FRANCISCO, CA, 94111",37.7924473469388,-122.398935142857
"FRESHFORKS","47 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","47 BELDEN PL, SAN FRANCISCO, CA, 94104",37.7912354693878,-122.403868530612
"MIXT","240 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","240 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7903685,-122.4037986
"ILLY CAFFE","220 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","220 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.7912223,-122.4021215
"MEATBALL BAR","126 SUTTER ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","126 SUTTER ST, SAN FRANCISCO, CA, 94104",37.7900613,-122.4028008
"GITANE RESTAURANT & BAR","239 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","239 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7903654,-122.4041287
"TOY SOLDIER","52 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","52 BELDEN PL, SAN FRANCISCO, CA, 94104",37.7914287,-122.4037548
"OSHA THAI GEARY INC","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","432 SUTTER ST, SAN FRANCISCO, CA, 94108",37.7894706,-122.4075628
"ROOSTER & RICE","125 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","125 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7892684,-122.403917
"DEEP CHICKEN CORNER","63 ELLIS ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA","63 ELLIS ST, SAN FRANCISCO, CA, 94102",37.7854639,-122.4071525
"POT & NOODLE","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","432 SUTTER ST, SAN FRANCISCO, CA, 94108",37.7894706,-122.4075628
"A BITE OF CHINA","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","432 SUTTER ST, SAN FRANCISCO, CA, 94108",37.7894706,-122.4075628
"SPICE KITCHEN","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","432 SUTTER ST, SAN FRANCISCO, CA, 94108",37.7894706,-122.4075628
"TARARA RESTAURANT + BAR","191 PINE ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA","191 PINE ST, SAN FRANCISCO, CA, 94111",37.7922027,-122.3992552
"ONIGILLY KEARNY","343 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","343 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7914101,-122.4043323
"POSTCARDS AMERICAN BISTRO","180 GEARY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","180 GEARY ST, SAN FRANCISCO, CA, 94108",37.7877136,-122.406336
"HONG KONG ECONOMIC & TRADE OFF","130 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","130 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.79052545,-122.402048446976
"RURU KITCHEN","532 MARKET ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA","532 MARKET ST, SAN FRANCISCO, CA, 94104",37.7906062,-122.400322896128
"BAMBOO ASIA","311 CALIFORNIA ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",13,926,"CA","311 CALIFORNIA ST, SAN FRANCISCO, CA, 94104",37.79294055,-122.400222950953
"SUTTER STREET CAFE","450 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",5,356,"CA","450 SUTTER ST, SAN FRANCISCO, CA, 94108",37.789638,-122.407870846077
"CAFE VENUE","218 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",21,1495,"CA","218 MONTGOMERY ST, SAN FRANCISCO, CA, 94104",37.79123,-122.402328897959
"ROXANNE CAFE","570 POWELL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA","570 POWELL ST, SAN FRANCISCO, CA, 94108",37.7900567,-122.408651
"SCALA'S BISTRO","432 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",200,14233,"CA","432 POWELL ST, SAN FRANCISCO, CA, 94102",37.7886533061224,-122.408371367347
"IRISH BANK BAR & RESTAURANT","10 MARK LN","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",25,1780,"CA","10 MARK LN, SAN FRANCISCO, CA, 94108",37.7904363,-122.404722
"PLOUF INC","40 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",43,3060,"CA","40 BELDEN PL, SAN FRANCISCO, CA, 94104",37.7912885,-122.4036909
"BALADIE GOURMET CAFE","337 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",2,143,"CA","337 KEARNY ST, SAN FRANCISCO, CA, 94108",37.7911213673469,-122.404209428571
"E & O KITCHEN & BAR","314 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA","314 SUTTER ST, SAN FRANCISCO, CA, 94108",37.7896974,-122.4057863
"AKIKOS RESTAURANT","431 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",7,499,"CA","431 BUSH ST, SAN FRANCISCO, CA, 94108",37.7905795,-122.4046791
"WORKING GIRLS' CAFE","259 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",3,214,"CA","259 KEARNY ST, SAN FRANCISCO, CA, 94108",37.790531122449,-122.404089408163
"B & M MEI SING","62 2ND ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",15,1068,"CA","62 2ND ST, SAN FRANCISCO, CA, 94105",37.7884112,-122.4005405
"EL FARO MEXICAN FOODS","82 1ST ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",7,499,"CA","82 1ST ST, SAN FRANCISCO, CA, 94105",37.7898693333333,-122.397854333333
"MC DONALD'S","609 MARKET ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",50,3559,"CA","609 MARKET ST, SAN FRANCISCO, CA, 94105",37.7889505,-122.4014996
