nhood,tpop17,white17,black17,asian17,hisp17,foreign17,pyoung17,pcol17,pbiz17,pprof17,minc17,mhval17,mrent17,tpop,white,black,asian,hisp,foreign,pyoung,pcol,pbiz,pprof,minc,mhval,mrent,m_minc,pwhite,pblack,pasian,phisp,pwhite17,pblack17,pasian17,phisp17,c_pcol,c_minc,c_mhval,c_mrent,m_c_pcol,m_c_minc,m_c_mhval,m_c_mrent,gentcat
Japantown,3551,1641,58,1163,329,1217,31.51,52.130001,31.99,34.529999,79783.0,970400.0,1470.0,3591.0,1594.0,628.0,1053.0,196.0,1255.0,31.440001,44.599998,28.620001,24.620001,56295.0796054025,460642.326825,1308.60862076832,90298.188,44.388749651907546,17.488164856585907,29.32330827067669,5.458089668615984,46.21233455364686,1.6333427203604618,32.751337651365816,9.264995775837793,7.530003000000001,23487.920394597502,509757.673175,161.39137923168005,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Lakeshore,14801,5333,937,4041,3420,5101,53.54750075,55.57749925,15.175000275,25.9,58167.5,1191250.0,1952.25,11850.29771523476,5508.6132,735.951,3858.8177,1012.9463,5246.727043470691,46.1274995,52.6400005,16.9775,30.194999,69389.64135026807,170916.26822616442,1690.70108051326,90298.188,46.48501946848238,6.210400934095187,32.56304434477708,8.547855288882362,36.03134923315992,6.3306533342341735,27.302209310181745,23.106546854942234,2.937498750000003,-11222.141350268066,1020333.7317738356,261.54891948674003,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Lincoln Park,312,146,50,105,11,126,2.5599999,61.740002,50.77,30.77,154167.0,857100.0,2342.0,231.0,148.0,21.0,37.0,19.0,7.0,12.12,24.02,4.6399999,60.310001,156321.058233599,1.48873072360617,2033.02130994747,90298.188,64.06926406926407,9.090909090909092,16.017316017316016,8.225108225108226,46.794871794871796,16.025641025641026,33.65384615384615,3.5256410256410255,37.720001999999994,-2154.058233599004,857098.5112692764,308.97869005253006,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
Lone Mountain/USF,17677,9208,906,3996,2071,3618,44.72999933333333,74.05333433333334,26.323333,38.233335000000004,135393.33333333334,1277800.0,1984.6666666666667,14817.0,8679.0,1213.0,3095.0,1083.0,2981.0,49.24999966666667,60.060000333333335,19.379999666666667,35.956667,89430.08706319948,824239.0822847113,1571.7785262750433,90298.188,58.57461024498887,8.186542484983466,20.88816899507323,7.309171897145171,52.09028681337331,5.125304067432256,22.605645754370084,11.715788878203314,13.993334000000004,45963.246270133866,453560.9177152887,412.88814039162344,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,non-gentrifying
Marina,25375,19952,197,2666,1809,3908,44.130000714285714,84.84428514285716,43.084285142857134,28.132857285714287,157390.0,1853200.5714285714,2491.5714285714284,22457.0,18748.0,113.0,2168.0,880.0,3451.0,43.92857200000001,74.09999828571428,40.92714242857143,24.314285857142856,131520.432755523,1195119.2102318364,1927.58975291798,90298.188,83.48399162844548,0.5031838624927639,9.654005432604533,3.918599991094091,78.62857142857142,0.7763546798029557,10.506403940886699,7.129064039408867,10.744286857142882,25869.567244476988,658081.361196735,563.9816756534485,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
McLaren Park,507,0,114,258,101,257,16.17,8.9200001,3.2,29.6,12340.0,708300.0,280.0,412.0,16.0,65.0,221.0,89.0,178.0,20.389999,14.29,14.29,19.58,102905.117582037,1.48873072360617,1271.80825010523,90298.188,3.8834951456310676,15.776699029126215,53.640776699029125,21.601941747572813,0.0,22.485207100591715,50.887573964497044,19.92110453648915,-5.3699999,-90565.117582037,708298.5112692764,-991.80825010523,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable
Mission,58770,24149,2151,8503,20962,18599,34.39923123076923,57.2038456923077,21.33692253846154,36.675384384615384,125000.15384615384,1106315.3846153845,1870.8461538461538,60202.02501311877,19581.012600000002,1790.0017,6629.0037,30145.006,26932.00639763056,39.933076692307694,33.86769223076924,11.881538469230769,24.150768846153845,76201.05023155667,634583.25920067,1267.6195399487005,90298.188,32.52550490740644,2.973324733860591,11.011263655259866,50.07307643460669,41.09069253020248,3.660030627871363,14.468266122171174,35.667857750553004,23.336153461538466,48799.103614597174,471732.12541471445,603.2266138974533,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Mission Bay,13222,4862,294,5931,1666,5382,42.700001,68.139999,27.450001,46.23,161496.0,914700.0,3131.0,653.003685045247,353.5493,67.61872,158.421,45.40114,250.18928169633,36.389999,46.889999,28.379999,39.529999,52097.7770933359,146008.926225021,953.680901542112,90298.188,54.142006867159154,10.355028853369282,24.26035313859261,6.952662142611664,36.7720465890183,2.2235667826350025,44.85705642111632,12.600211768265012,21.25,109398.2229066641,768691.073774979,2177.319098457888,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Nob Hill,26445,12684,982,8715,2825,8317,43.36714214285714,65.7042857142857,28.26428542857143,32.97428571428571,94402.42857142857,1023850.0,1813.2857142857142,27066.0,13967.0,572.0,9807.0,1708.0,10266.0,40.047142428571426,46.51857171428571,23.837142571428576,24.904285428571427,67382.69854016467,664968.033232229,1223.1819241928429,90298.188,51.60348777063475,2.1133525456292026,36.23365107514964,6.3105002586270595,47.96369824163358,3.713367366231802,32.95519001701645,10.682548685951975,19.18571399999999,27019.730031263898,358881.96676777105,590.1037900928713,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,gentrifying
Noe Valley,23407,15367,476,3307,2702,5642,23.33166616666667,78.65333283333334,33.83500016666667,42.176666833333336,179347.83333333334,1565483.5,2398.0,21477.0,15480.0,515.0,1995.0,2643.0,3931.0,31.883332999999997,68.2083335,24.539999999999996,43.12500083333333,120738.04333825635,911443.3603896113,1739.9141417007697,90298.188,72.07710574102528,2.3979140475857896,9.28900684453136,12.306188015085906,65.65130089289529,2.0335796983808265,14.12825223223822,11.54355534669116,10.444999333333342,58609.78999507699,654040.1396103887,658.0858582992303,12.853909984728688,25040.33872035658,516619.2040051133,469.0497263376764,nongentable-ascending
