trt10,tpop17,pyoung17,white17,black17,asian17,hisp17,pwht17,pblk17,pasian17,phisp17,pcol17,pbiz17,pprof17,minc17,mhval17,mrent17,foreign17,pforeign17,tpop,pyoung,white,black,asian,hisp,pwht,pblk,pasian,phisp,pcol,pbiz,pprof,minc,mhval,mrent,foreign,pforeign,m_minc,gentable,gentable2,c_mhval,c_mrent,c_col,c_minc,m_c_mhval,m_c_mrent,m_c_col,m_c_minc,gent,gent2
022902,2483,28.59,922,102,295,1035,37.130001,4.1100001,11.88,41.68,48.959999,13.11,33.110001,138571,957400,1968,904,36.41,2925,36.509998,608,59,283,1895,20.790001,2.02,9.6800003,64.790001,25.49,12.29,23.65,94963.977341839,487575.954145446,1367.86067615658,1332,45.43,90298.188,0,0,469824.03,600.13934,23.469999,43607.023,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
022903,3240,35.490002,1069,126,304,1609,32.990002,3.8900001,9.3800001,49.66,52.209999,17.959999,36.619999,117313,1006800,2280,1053,32.5,3942.02501311877,37.34,927.0126,101.0017,443.0037,2345.006,23.52,2.5599999,11.24,59.490002,29.52,9.3100004,20.110001,78903.98171918061,473612.52166231,1362.93372875393,1663.00639763056,42.189999,90298.188,1,0,533187.5,917.06628,22.689999,38409.02,461054.94,495.1232,12.879997,22653.719,1,gentrifying
023001,5398,21.290001,263,598,3988,414,4.8699999,11.08,73.879997,7.6700001,20.459999,6.4499998,13.87,75223,731900,1299,3036,56.240002,5083,23.73,369,1178,2645,747,7.2600002,23.18,52.040001,14.7,11.41,6.0999999,12.51,80665.7660998814,392076.188121248,1044.81327709679,2589,50.93,90298.188,1,0,339823.81,254.18672,9.0499992,-5442.7661,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
023003,4084,22.280001,329,862,2031,823,8.0600004,21.110001,49.73,20.15,31.200001,10.84,20.799999,91845,787100,1950,1742,42.650002,4028,22.42,268,1499,1439,655,6.6500001,37.209999,35.720001,16.26,13.44,13.14,16.940001,85292.5328221977,377427.28353995,1417.05897305541,1661,42.43,90298.188,1,0,409672.72,532.94104,17.760002,6552.4673,461054.94,495.1232,12.879997,22653.719,1,gentrifying
023102,4549,28.67,239,2335,602,945,5.25,51.330002,13.23,20.77,19.1,7.8800001,15.18,37981,721900,636,1166,25.629999,3600,21.25,135,2585,404,321,3.75,71.809998,11.22,8.9200001,14.56,13.94,14.5,43132.9875167191,323074.970258485,458.577873714097,534,14.9,90298.188,1,1,398825.03,177.42212,4.54,-5151.9873,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
023103,2890,20.690001,105,1470,334,653,3.6300001,50.869999,11.56,22.6,14.13,17.209999,17.629999,24474,606900,712,414,14.33,4649,25.1,112,3377,101,271,2.4100001,72.639999,2.1700001,5.8299999,4.1399999,10.68,17.76,25809.0532740804,428471.630407394,605.218663503361,430,9.2299995,90298.188,1,1,178428.38,106.78133,9.9899998,-1335.0532,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
023200,3972,23.24,403,1085,672,1734,10.15,27.32,16.92,43.66,28.73,20.01,16.68,81958,776800,1395,1698,42.75,4490,24.59,187,2577,489,1011,4.1599998,57.389999,10.89,22.52,9.1000004,10.75,8.75,67940.9716961121,384077.511185514,1175.12734102592,1015,22.610001,90298.188,1,1,392722.5,219.87267,19.629999,14017.028,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
023300,3739,19.68,257,530,2005,919,6.8699999,14.17,53.619999,24.58,27.25,11.11,17.110001,60104,714100,1002,2074,55.470001,2591,27.059999,129,428,1511,430,4.98,16.52,58.32,16.6,17.950001,10.08,14.94,88598.6507391484,449398.126012616,1092.61383337896,1544,61.810001,90298.188,1,0,264701.88,-90.613831,9.2999992,-28494.65,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
023400,3661,25.4,315,656,761,1507,8.6000004,17.92,20.790001,41.16,21.35,11.62,19.99,51971,703600,675,1383,37.779999,3492,25.540001,132,1590,488,886,3.78,45.529999,13.97,25.370001,7.48,8.5900002,14.8,49169.7929453109,306558.489410397,592.266706207987,983,28.15,90298.188,1,1,397041.5,82.733292,13.870001,2801.207,461054.94,495.1232,12.879997,22653.719,0,non-gentrifying
025100,3473,23.18,1726,289,598,582,49.700001,8.3199997,17.219999,16.76,68.790001,28.59,39.849998,159375,1419600,1932,733,21.110001,3249.09064769425,28.190001,1634.034,222.034,482.0036,737.0185,50.290001,6.8299999,14.84,22.68,44.73,17.01,38.880001,107714.525889541,578677.0470291669,1663.60402604644,831.012738465022,25.58,90298.188,0,0,840922.94,268.39597,24.060001,51660.473,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
025200,5256,22.889999,3249,75,555,1161,61.82,1.4299999,10.56,22.09,68.68,24.09,41.450001,152813,1182800,1937,1206,22.950001,5454,30.34,2785,226,568,1625,51.060001,4.1399999,10.41,29.790001,50.040001,16.18,31.49,109131.5420212,577151.727160539,1737.48587438347,1597,29.280001,90298.188,0,0,605648.25,199.51413,18.639999,43681.457,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
025300,4454,24.85,2380,40,585,1154,53.439999,.89999998,13.13,25.91,61.389999,29.059999,36.77,138811,1174700,1770,1175,26.379999,4615,32.439999,2005,173,554,1712,43.450001,3.75,12,37.099998,45.759998,14.73,33.970001,97325.9497636478,617695.464131269,1392.49491611591,1653,35.82,90298.188,0,0,557004.56,377.5051,15.630001,41485.051,461054.94,495.1232,12.879997,22653.719,,non-gentrifiable
